timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692510186095,232,POST Authors,200,OK,25 Users-ThreadStarter 1-7,text,true,,254,299,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,232,0,0
1692510186152,179,GET Author BookID,200,OK,25 Users-ThreadStarter 1-5,text,true,,412,161,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/authors/books/3,178,0,0
1692510186151,180,POST Authors,200,OK,25 Users-ThreadStarter 1-25,text,false,"Value in json path '$.idBook' expected to be '102', but found '101'",252,297,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,179,0,0
1692510186128,203,POST Authors,200,OK,25 Users-ThreadStarter 1-22,text,false,"Value in json path '$.idBook' expected to be '102', but found '103'",256,301,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,202,0,0
1692510186167,188,GET Author BookID,200,OK,25 Users-ThreadStarter 1-8,text,true,,340,161,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/authors/books/2,188,0,0
1692510186171,193,POST Authors,200,OK,25 Users-ThreadStarter 1-11,text,true,,254,299,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,193,0,0
1692510186187,179,PUT Authors,200,OK,25 Users-ThreadStarter 1-17,text,true,,252,298,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/1,179,0,0
1692510186171,199,GET Author By AuthorID,200,OK,25 Users-ThreadStarter 1-24,text,true,,266,147,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/6,199,0,0
1692510186182,190,PUT Authors,200,OK,25 Users-ThreadStarter 1-2,text,true,,252,298,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/1,190,0,0
1692510186195,179,GET Author BookID,200,OK,25 Users-ThreadStarter 1-19,text,true,,418,161,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/authors/books/3,179,0,0
1692510186204,179,POST Authors,200,OK,25 Users-ThreadStarter 1-15,text,false,"Value in json path '$.idBook' expected to be '102', but found '101'",252,297,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,179,0,0
1692510186192,191,PUT Authors,200,OK,25 Users-ThreadStarter 1-6,text,true,,256,302,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/3,191,0,0
1692510186194,194,GET Author By AuthorID,200,OK,25 Users-ThreadStarter 1-14,text,true,,269,148,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/10,194,0,0
1692510186207,183,GET Author By AuthorID,200,OK,25 Users-ThreadStarter 1-3,text,true,,266,147,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/8,183,0,0
1692510186207,190,POST Authors,200,OK,25 Users-ThreadStarter 1-9,text,false,"Value in json path '$.idBook' expected to be '102', but found '103'",256,301,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,190,0,0
1692510186237,182,GET Author BookID,200,OK,25 Users-ThreadStarter 1-18,text,true,,340,161,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors/authors/books/1,182,0,0
1692510185507,918,GET Authors,200,OK,25 Users-ThreadStarter 1-13,text,true,,47012,145,25,25,https://fakerestapi.azurewebsites.net/api/v1/Authors,737,0,552
